grid_size,variant,position_rmse,orientation_mode_error_rad,orientation_mean_error_rad,mean_nees,coverage_95,runtime_ms_per_step,n_trials,n_steps
8,baseline,0.6971760597033962,0.2442908439153094,0.22663435359905298,84.03852951588574,0.3003472222222222,3.64608289919488,48,24
8,r1,0.692086074002252,0.2442908439153094,0.22634078986006279,82.89585817694365,0.2795138888888889,3.0161357644828968,48,24
8,r1_r2,0.2606108275246335,0.24462861348192197,0.21709552599704943,3.6828643703798867,0.8020833333333334,4.476499652810162,48,24
16,baseline,0.3283825692876842,0.12402211966187278,0.11642526978565673,15.713592355739962,0.4791666666666667,6.3499150176843004,48,24
16,r1,0.3279087475021177,0.12368123504234263,0.11638733501280694,15.683545026909043,0.4826388888888889,3.3449194443164743,48,24
16,r1_r2,0.21582285248248853,0.12421768061226975,0.11362628435923068,3.090979268923174,0.8654513888888888,3.532981510286643,48,24
32,baseline,0.224540472830092,0.09425270181966866,0.0841411474821967,5.902025987082014,0.7039930555555556,6.259343749560584,48,24
32,r1,0.22445710296797214,0.09425270181966866,0.08413293527658422,5.899519284830045,0.7074652777777778,6.752817361504842,48,24
32,r1_r2,0.20084389226239577,0.09431624728204155,0.08287850889797353,3.317830063328953,0.8472222222222222,5.672062760166025,48,24
64,baseline,0.16917014780693285,0.07014345364327018,0.06553372465773963,2.2348557001551708,0.9270833333333334,28.461909462344515,48,24
64,r1,0.16915945085119846,0.07014345364327018,0.06553292556754395,2.2347362613559034,0.9262152777777778,21.300179080450715,48,24
64,r1_r2,0.1680170474421229,0.07014345364327018,0.06536400485132295,2.065590731260167,0.9383680555555556,26.727978558735938,48,24
